Feature,CC1_Loading,CC1_Loading_Abs
WIND_LEVEL_2,-0.6585891516829981,0.6585891516829981
WIND_LEVEL_4,0.4844628895016201,0.4844628895016201
WIND_LEVEL_5,0.41944887531385944,0.41944887531385944
WIND_LEVEL_1,-0.2527153911049813,0.2527153911049813
HEAT_INDEX_CAUTION,0.2517954946706141,0.2517954946706141
HEAT_INDEX_EXTREME_CAUTION,0.13818688834205423,0.13818688834205423
LOW_TEMPERATURE,-0.07554058548279309,0.07554058548279309
WIND_LEVEL_3,-0.053252164452847084,0.053252164452847084
HIGH_HUMIDITY,-0.01981930302021232,0.01981930302021232
PRECIPITATION_100,-0.013873804551429489,0.013873804551429489
HIGH_TEMPERATURE,-0.009569519391068313,0.009569519391068313
PRECIPITATION_50,0.00616334579696017,0.00616334579696017
HEAT_INDEX_DANGER,-5.1365289308977304e-17,5.1365289308977304e-17
WIND_LEVEL_6,1.7055936273529622e-26,1.7055936273529622e-26
WIND_LEVEL_7,-0.0,0.0
WIND_LEVEL_8,-0.0,0.0
