,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8
HIGH_TEMPERATURE,-0.009569519391068313,-0.0008223473662606126,0.015996148578726083,-0.18187113077898176,0.19658057385965386,-0.8252371153371114,-0.21337779637918397,0.008413006585186348
LOW_TEMPERATURE,-0.07554058548279309,0.18675597978522995,0.020632536428471543,0.35786461553982873,0.007267391550484134,0.025431324507937635,-0.3780151269010376,0.45659245898732725
HIGH_HUMIDITY,-0.01981930302021232,0.02783732630712979,0.19733395921084107,0.5381693279015846,0.7149157509133626,0.054592341850287045,0.21995708948727988,-0.23703416934431648
HEAT_INDEX_CAUTION,0.2517954946706141,-0.6541642988412772,-0.018527279048340825,0.16286260096412244,-0.05126765170482861,-0.15115716265602266,-0.18056483850458344,0.21918576145131213
HEAT_INDEX_EXTREME_CAUTION,0.13818688834205423,-0.4071738655219208,-0.10208504258824633,-0.32657396631962055,0.07761673434967101,0.27807206761641146,0.25941621033661355,-0.1308850982270534
HEAT_INDEX_DANGER,-5.1365289308977304e-17,-1.3398517382172986e-16,1.865998666491451e-17,1.6715594177990542e-17,-3.1282337452696595e-17,6.625312887688162e-17,-1.7934330079411382e-17,0.0
WIND_LEVEL_1,-0.2527153911049813,0.009055595024791085,-0.06802389792752833,0.09148671246300415,0.0276685063271043,0.31088461785609744,-0.28657448637518057,0.2866815788255358
WIND_LEVEL_2,-0.6585891516829981,0.08416068044559649,-0.09624185305114179,-0.19058602398283814,-0.039225539918138874,0.029403500669490594,-0.21800713980240974,-0.3745820725419983
WIND_LEVEL_3,-0.053252164452847084,0.35101561199651227,0.0019897599922804082,-0.19864252918146683,0.036155818346234055,-0.1499986658299334,0.5959508950276124,0.48675607276777044
WIND_LEVEL_4,0.4844628895016201,0.40363888438170037,-0.06067594592487309,0.24725482097896923,-0.41388717775892814,0.027252263326215054,-0.0654049815080067,-0.2882641109500125
WIND_LEVEL_5,0.41944887531385944,0.2768737994124682,-0.05482088196775864,-0.46640147835271806,0.48487048612286204,0.1794431018165024,-0.40602022756198275,-0.02551764108239801
WIND_LEVEL_6,1.7055936273529622e-26,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
WIND_LEVEL_7,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
WIND_LEVEL_8,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
PRECIPITATION_50,0.00616334579696017,0.0001969306524838952,0.7539539613354681,-0.03491955355452707,-0.17744210398618282,-0.09860120183758679,-0.028430036017792835,-0.22876770373223637
PRECIPITATION_100,-0.013873804551429489,-0.0257808458644513,0.600488080468147,-0.22807550229527399,-0.006847307261922253,0.22914175510543178,-0.09243865677983759,0.27309797197202645
