Feature,CC1_Loading,CC1_Loading_Abs
MXSPD,0.8928349399134645,0.8928349399134645
MAX,0.2848429714001695,0.2848429714001695
TEMP,-0.20310860403072195,0.20310860403072195
MIN,0.2030232551452326,0.2030232551452326
DEWP,-0.14415491974391323,0.14415491974391323
WDSP,-0.08674244116273855,0.08674244116273855
RH,0.08420720712406975,0.08420720712406975
PRCP,-0.03717341140461114,0.03717341140461114
SLP,-0.03657381026524069,0.03657381026524069
GUST,0.025540830564925468,0.025540830564925468
VISIB,0.017599470403502234,0.017599470403502234
STP,0.012703438057470278,0.012703438057470278
