Feature,Kendall_Tau,P_Value,Significant
TEMP,0.14232879654530922,0.0,Yes
MAX,0.1419816302641654,0.0,Yes
MIN,0.1398198069180047,0.0,Yes
DEWP,0.1342087593538793,0.0,Yes
SLP,-0.1165864835557868,0.0,Yes
MXSPD,0.09054657920458098,0.0,Yes
GUST,0.07731301186337272,1.6596687988577272e-272,Yes
STP,0.053869590206432526,6.3086180261821866e-142,Yes
HEAT_INDEX_EXTREME_CAUTION,0.04981873042128762,5.607801907612347e-82,Yes
CLOSEST_STATION,0.04797221402516689,3.3106386604673046e-99,Yes
WDSP,0.03617960677217945,6.614837281105204e-64,Yes
HIGH_TEMPERATURE,0.031671095471808096,3.4197114052738147e-34,Yes
WIND_LEVEL_3,0.02332128536265641,2.7611493865526642e-19,Yes
PRCP,0.021806980354433556,1.7154649219364483e-20,Yes
WIND_LEVEL_4,0.01989871293212983,1.855257741389281e-14,Yes
HEAT_INDEX_CAUTION,0.019072634075240975,2.0999918216660603e-13,Yes
WIND_LEVEL_2,-0.009615208828002793,0.00021432348714785188,Yes
RH,0.00780688380958568,0.00023337027628663533,Yes
WIND_LEVEL_5,0.007111089819528294,0.006190599995071018,Yes
WIND_LEVEL_6,0.006899535508343955,0.007905707565581009,Yes
WIND_LEVEL_1,-0.006843149742866628,0.008429504880194479,Yes
PRECIPITATION_50,0.005403887048023343,0.037498005290864896,Yes
LOW_TEMPERATURE,0.004982078072690353,0.05512127251130089,No
PRECIPITATION_100,-0.002554864005073653,0.32534673918372226,No
WIND_LEVEL_7,0.00232829552340772,0.3700876472497049,No
VISIB,0.0005181025460265565,0.8077237533064667,No
HIGH_HUMIDITY,-0.0004044249168073321,0.876278245488125,No
SNDP,,,No
HEAT_INDEX_DANGER,,,No
HEAT_INDEX_EXTREME_DANGER,,,No
WIND_CHILL_VERY_COLD,,,No
WIND_CHILL_FROSTBITE_DANGER,,,No
WIND_CHILL_GREAT_FROSTBITE_DANGER,,,No
WIND_LEVEL_0,,,No
WIND_LEVEL_8,,,No
WIND_LEVEL_9,,,No
WIND_LEVEL_10,,,No
WIND_LEVEL_11,,,No
WIND_LEVEL_12,,,No
